id	effectiveTime	active	moduleId	refsetId	referencedComponentId	acceptabilityId
811c6e45-faba-4b4e-bdeb-7a30b6952ba6	20200315	1	11000172109	900000000000509007	1263861000172116	900000000000548007
81f129f5-a760-4d95-a543-088b19f55333	20210915	1	11000172109	900000000000509007	1932511000172115	900000000000548007
82d91dc4-2c37-4016-9ce4-42ac35b048be	20180315	1	11000172109	900000000000509007	80481000172113	900000000000548007
82ec231f-3d6a-47e3-a7f3-8ed1e4e61d30	20210915	1	11000172109	900000000000509007	1932761000172110	900000000000548007
830afd75-e984-4381-abc7-72428bf654e8	20210915	1	11000172109	900000000000509007	1912601000172114	900000000000548007
87ef7c3f-1352-4df9-9b26-c3704d6e7438	20210915	1	11000172109	900000000000509007	1932841000172119	900000000000548007
887dcf38-6514-49d9-b5cc-af367d586e64	20210915	1	11000172109	900000000000509007	1932151000172114	900000000000548007
9570f6f1-7e92-498b-a469-84c17d7fc688	20200915	1	11000172109	900000000000509007	1522251000172111	900000000000548007
966d73f3-c295-4d7f-baf7-1850c5c66943	20210915	1	11000172109	900000000000509007	1912961000172118	900000000000548007
969bcf17-d663-4fba-b82f-e739c25395c2	20210915	1	11000172109	900000000000509007	1932071000172115	900000000000548007
9b7d64c5-7bf3-44e7-a81b-1a7d3d2d51fb	20221115	1	11000172109	900000000000509007	7891701000172117	900000000000548007
9db9ae57-9231-4fbd-a511-a31b142689fa	20180315	1	11000172109	900000000000509007	80581000172112	900000000000548007
9fae470e-6b25-4c99-ab78-6ecc90d95252	20210915	1	11000172109	900000000000509007	1912091000172112	900000000000548007
a03392d8-05a3-4ffd-9530-8911ffcac987	20210315	1	11000172109	900000000000509007	1523151000172111	900000000000548007
a479fffa-d3fa-4ba4-9ceb-fd11b11cf7a7	20210915	1	11000172109	900000000000509007	1912221000172116	900000000000548007
a5bcd781-efaa-4827-89bb-f0fa48fc3d52	20210915	1	11000172109	900000000000509007	1912161000172115	900000000000548007
a87caf8c-0d43-4079-b61a-6e9834f1b376	20210915	1	11000172109	900000000000509007	1913151000172110	900000000000548007
ae0498dc-f56b-4474-ab4e-3f8151686170	20221115	1	11000172109	900000000000509007	7891641000172111	900000000000548007
b2c6679c-03da-439f-b4cb-5465f1fe8867	20210315	1	11000172109	900000000000509007	1523121000172117	900000000000548007
b5deea98-06f9-473a-84a5-600aebf26668	20210315	1	11000172109	900000000000509007	1523171000172116	900000000000548007
b700a37e-0d95-43fe-9995-aefbc65ee32d	20210915	1	11000172109	900000000000509007	1932871000172112	900000000000548007
ba83256b-b363-4079-9d04-5b6273769250	20210915	1	11000172109	900000000000509007	1912451000172111	900000000000548007
bad2699e-f35d-4604-bcf1-4e3b880ba7ac	20210915	1	11000172109	900000000000509007	1912401000172112	900000000000548007
bb6a653e-ca87-46dd-94ff-d3ecc88da488	20210915	1	11000172109	900000000000509007	1912231000172118	900000000000549004
bbf1e38c-4d81-4857-a34b-e1b35309fe2d	20210915	1	11000172109	900000000000509007	1912991000172111	900000000000548007
c17c06ac-b1dd-43f7-afd8-5e6ea3684a86	20210915	1	11000172109	900000000000509007	1932111000172113	900000000000548007
c3cf4fb4-1f87-4e1b-85a3-9cfdeee30406	20210915	1	11000172109	900000000000509007	1912021000172110	900000000000548007
